CODE,DESCRIPTION,ACTION
10000,Vehicle long time inaction, cmd ids: {0} ,
10001,Vehicle cannot service,
10002,Vehicle is in low battery status,
10003,Vehicle can't find coupler to charging,
10004,Send transfer command to vehicle fail cmd id:[{0}] reason:[{1}],
